date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2015-04-15,Rice - Retail,KG,cereals and tubers,90.0,DZD,Algeria,Alger,344,Algiers,1794,52,15,5,1,1794_52_15_5,1
2015-05-15,Rice - Retail,KG,cereals and tubers,96.0,DZD,Algeria,Alger,344,Algiers,1794,52,15,5,1,1794_52_15_5,1
2015-06-15,Rice - Retail,KG,cereals and tubers,96.0,DZD,Algeria,Alger,344,Algiers,1794,52,15,5,1,1794_52_15_5,1
2015-07-15,Rice - Retail,KG,cereals and tubers,83.0,DZD,Algeria,Alger,344,Algiers,1794,52,15,5,1,1794_52_15_5,1
2015-08-15,Rice - Retail,KG,cereals and tubers,80.0,DZD,Algeria,Alger,344,Algiers,1794,52,15,5,1,1794_52_15_5,1
2015-09-15,Rice - Retail,KG,cereals and tubers,80.0,DZD,Algeria,Alger,344,Algiers,1794,52,15,5,1,1794_52_15_5,1
2015-10-15,Rice - Retail,KG,cereals and tubers,80.0,DZD,Algeria,Alger,344,Algiers,1794,52,15,5,1,1794_52_15_5,1
2015-11-15,Rice - Retail,KG,cereals and tubers,85.0,DZD,Algeria,Alger,344,Algiers,1794,52,15,5,1,1794_52_15_5,1
2015-12-15,Rice - Retail,KG,cereals and tubers,85.0,DZD,Algeria,Alger,344,Algiers,1794,52,15,5,1,1794_52_15_5,1
2016-01-15,Rice - Retail,KG,cereals and tubers,85.0,DZD,Algeria,Alger,344,Algiers,1794,52,15,5,1,1794_52_15_5,1
2016-02-15,Rice - Retail,KG,cereals and tubers,80.0,DZD,Algeria,Alger,344,Algiers,1794,52,15,5,1,1794_52_15_5,1
2016-03-15,Rice - Retail,KG,cereals and tubers,90.0,DZD,Algeria,Alger,344,Algiers,1794,52,15,5,1,1794_52_15_5,1
2016-07-15,Rice - Retail,KG,cereals and tubers,100.0,DZD,Algeria,Alger,344,Algiers,1794,52,15,5,1,1794_52_15_5,1
2016-08-15,Rice - Retail,KG,cereals and tubers,95.0,DZD,Algeria,Alger,344,Algiers,1794,52,15,5,1,1794_52_15_5,1
2016-09-15,Rice - Retail,KG,cereals and tubers,95.0,DZD,Algeria,Alger,344,Algiers,1794,52,15,5,1,1794_52_15_5,1
2016-10-15,Rice - Retail,KG,cereals and tubers,100.0,DZD,Algeria,Alger,344,Algiers,1794,52,15,5,1,1794_52_15_5,1
2015-04-15,Bread - Retail,Unit,cereals and tubers,10.0,DZD,Algeria,Alger,344,Algiers,1794,55,15,33,1,1794_55_15_33,
2015-05-15,Bread - Retail,Unit,cereals and tubers,10.0,DZD,Algeria,Alger,344,Algiers,1794,55,15,33,1,1794_55_15_33,
2015-06-15,Bread - Retail,Unit,cereals and tubers,10.0,DZD,Algeria,Alger,344,Algiers,1794,55,15,33,1,1794_55_15_33,
2015-07-15,Bread - Retail,Unit,cereals and tubers,10.0,DZD,Algeria,Alger,344,Algiers,1794,55,15,33,1,1794_55_15_33,
